ref_id,authors_year,venue,dataset_used,method,main_claim,gap_left_open,relevance_to_LUNARVOID,read_status
Mueller2026,"Mueller et al. 2026","Arctic Science 12:1-23 (doi:10.1139/as-2025-0062)","UAV photogrammetric point clouds over snow-covered road corridors (DLR snow-depth campaign); 205 manually selected no-change points; 20 independent check points; 1.9M zero-change pixels along snow-cleared road centrelines; open data at Zenodo 10.5281/zenodo.14608566","CloudCompare 2.13.2 ICP fine registration (RMS convergence threshold 1.0e-7; final overlap 90%; 500k-point random sampling limit); pykrige spherical-variogram kriged distortion map on a 2000x2000 grid from no-change points; Orfeo ToolBox watershed depression segmentation; segment-and-buffer analysis with directional sectors; damping-depth thermal workflow (Appendix C)","Kriged distortion correction after ICP cuts Z error from bias +4.18 m / RMSE 4.53 m (initial) to bias -0.02 m / RMSE 0.21 m at 20 independent check points (factor-of-six RMSE reduction after ICP convergence); zero-change surfaces show mean 10.99 cm / SD 21.64 cm; the kriged surface is smooth low-frequency and removes global alignment error without smoothing localised features","Terrestrial snow surfaces only: never applied to planetary DTMs; systematic error under lunar illumination (shape-from-shading artifacts) untested; ICP adjust-scale must be disabled for stereo-fixed lunar geometry; no study of how the corrected noise floor scales with posting (resolution transfer)","Source of inherited components I1-I7: ICP parameters (I1); kriged systematic-error correction (I2 - the critical-path enabler); zero-change noise-floor protocol (I3 - Gate G1 criterion); watershed segmentation (I4); sun-azimuth sector artifact test (I5); damping-depth thermal workflow (I6); conservative lower-bound framing (I7)",priority-done
Reichenzeller2026,"Reichenzeller et al. 2026","Forests 17:807 (doi:10.3390/f17070807)","Calibrated terrestrial forest plots: SfM and UAV-LiDAR point clouds; documented understory trees for apparent-FP adjudication; independent airborne laser dataset for the Laser Penetration Index covariate","Vertical Complexity Index (VCI = -sum(p_i ln p_i)/ln(n_HB) - Shannon evenness of the vertical point distribution per voxel column) rasterised then thresholded then local-maximum filter (neighbourhood 5) then centroids; per-instrument threshold re-tuning; stratified detectability with Wilcoxon rank-sum; 96-combination sensitivity heatmap","VCI detects 75.25% of overstory trees at precision 0.8172 / F1 0.7835 (0.5 m pixel; 1 m height bins; threshold 0.4); re-tuning one threshold (0.4 to 0.8) on UAV-LiDAR lifts F1 to 0.86 with recall 0.89 / precision 0.82; 21 of 34 apparent FPs were unlabelled true positives; runs in ~30 s per dataset on a 16 GB laptop","Terrestrial vegetation only; VCI never applied to planetary point clouds; no systematic resolution-degradation study (one instrument pair; one re-tune); leaning-geometry failure mode (only 4-6 of 11 stems) identified but not stress-tested; no calibrated-probability output","Source of inherited components I8-I15: VCI overhang detector (spikes exactly where 2.5D rasters fail; tree stem and pit wall are the same geometry); per-rung threshold re-tuning (I9); inspect-every-apparent-FP discipline (I10); stratified detectability template (I11); independent confound covariates with nulls reported (I12); sensitivity heatmap (I13); pre-registered funnel-pit failure prediction (I14); calibrate-once-transfer-unchanged with declared matching radius (I15)",priority-done
Mueller2023,"Mueller et al. 2023","Remote Sensing 15:4308",not yet reviewed,"UAV flight-design methodology (spiral flight pattern) for photogrammetric survey (v5 tag C10)",not yet reviewed,queued for reading,"Flight-design reference for the optional WP1 drone campaign over a terrestrial analog tube field",queued
Dietenberger2023,"Dietenberger et al. 2023","Remote Sensing 15:4366",not yet reviewed,"Stem detection from point clouds (DLR line)",not yet reviewed,queued for reading,"Stem-detection baseline of the DLR forestry line that becomes the VCI overhang detector (I8)",queued
WagnerRobinson2014,"Wagner & Robinson 2014","Icarus","LROC NAC images","PitScan: automated pit detection by thresholding NAC images","Distribution and formation of lunar pits (mare and impact-melt) established from automated NAC detection","Detection and catalogue only: no roof-sag search; no multi-evidence fusion; no calibrated subsurface inference","Defines the hole-search paradigm LUNARVOID complements with roof-search; PitScan is the threshold-detection starting point the field has already passed",queued
WagnerRobinson2021,"Wagner & Robinson 2021","LPSC 52 Abstract 2530","LROC NAC imagery (~281 catalogued pits; coordinates accurate to ~30 m)","Lunar Pit Atlas compilation with morphometric fields (funnel and inner diameters; depth; host terrain; sub-type; unique IDs for clustered and nested pits)","281 catalogued lunar pits of which only ~15-16 mare and ~5 highland are plausibly tube-related (count revised between publications)","Labels only: no verified negatives anywhere on the Moon; the majority of pits are impact-melt and tube-irrelevant - the label famine this project is designed around","THE label set (~20 usable positives) for PU learning and morphometric priors; ~30 m positional accuracy sets the declared matching radius (I15)",queued
WagnerRobinson2022,"Wagner & Robinson 2022","JGR Planets (doi:10.1029/2022JE007328)","LROC NAC monoscopic and stereo observations of pit interiors","Mono/stereo photogrammetric 3D analysis of pit interiors and morphology","Pit interior morphology (overhangs; floors; wall structure) reconstructed from NAC observations","Hand-tuned single-site work; not automated; no per-vertex uncertainty; no pipeline beyond the studied pits","The single-site precedent WP4 automates into uncertainty-quantified interior reconstruction; overhang geometry validates VCI behaviour",queued
LeCorre2025,"Le Corre et al. 2025","Icarus 441 (ESSA)","LROC NAC and MRO HiRISE products (full training product list published); Lunar Pit Atlas labels; open weights on Zenodo; code on GitHub; georeferenced shapefiles of every detection","ESSA deep-learning detector (Mask R-CNN) for Entrances to Sub-Surface Areas; trained on Pit Atlas labels with Martian HiRISE and synthetic implanted-pit augmentation; reproducible inference stack","New candidate cave entrances on the Moon found using deep learning; ~89.1/95.6% F1 (bbox/mask) in validation framing vs 82.4/93.7% on testing (quote carefully); two previously uncatalogued skylights found across ~1.9% of the lunar maria","Detection not inference: no P(void) with error bars; trained on LPA labels so scoring against LPA is circular; 2D imagery only (no DTM morphometry; thermal or gravity fusion); no PU treatment of unverified negatives; coverage only 1.9% of maria; no false-positives-per-area reporting","The published baseline to beat (risks R8/R9): cite early; position as calibrated inference vs detection; never use as a label source; audit its product list against our splits; its detection shapefiles serve as the comparison set",priority-done
Zhou2024,"Zhou et al. 2024","Earth and Space Science 11(11) (doi:10.1029/2024EA003532)","LROC NAC stereo pairs of Mare Tranquillitatis Pit and Marius Hills Hole","Multi-stereo photogrammetry: refined census cost; coarse-to-fine point cloud registration; weighted multi-pair fusion","2 m DTMs of Mare Tranquillitatis Pit and Marius Hills Hole from multi-pair stereo fusion","Single-site reconstruction; no detection or inference method; no degradation or detectability analysis; interiors only where illuminated","Photogrammetric precedent WP4 extends into an automated pipeline; its MTP/MHH models are calibration targets for our DTM work",queued
Carrer2024,"Carrer et al. 2024","Nature Astronomy","LRO Mini-RF S-band radar imaging of the Mare Tranquillitatis Pit","Radar imaging analysis demonstrating an accessible conduit beneath MTP","Radar evidence of a cave conduit below the Mare Tranquillitatis Pit - the first lunar cave demonstrated beyond theory and the only radar-evidenced conduit on the Moon","Single site and single instrument: no survey capability; no fusion with morphometry; thermal or gravity; no calibrated probability framework; says nothing about intact roofs or uncollapsed segments elsewhere","Defines the ONLY verifiable subsurface truth on the Moon (claim-discipline anchor: nothing else subsurface is verifiable today); makes MTP the calibration benchmark; Mini-RF enters the stack as a Tier-D confirmation layer only",priority-done
