# LUNARVOID Candidate Registry — the ONE project-level list of inferred
# void candidates. Populated by WP2 sag search (Task 18+), enriched by
# WP3 fusion, audited by skeptic. CLAIM DISCIPLINE APPLIES: these are
# INFERENCES with confidence tiers, never detections. FP reporting per
# 10^4 km^2 is computed over the searched area, not over this list.
#
# Schema (one row per candidate; append, never silently delete —
# use status=DOWNGRADED with a reason):
#
# candidate_id   LV-<dtm>-<n> stable unique id
# lon,lat        planetocentric, -180..180
# dtm            NAC DTM name the candidate was found in
# span_m         candidate long-axis span in metres (60-300 prior)
# sag_amp_m      recovered depression amplitude (m)
# score          raw detector score (depth x Frangi)
# confusion      nearest confusion-layer class (rille/chain/ridge/
#                graben/bg) + distance_m — a rille shoulder candidate
#                must show this field before any promotion
# methods        evidence streams currently agreeing," ""|""-separated"
#                (morphometry|gravity|thermal|illumination)
# tier           A = two+ independent methods agree; B = one method,
#                confusion-cleared; C = raw morphometry only
# status         ACTIVE / DOWNGRADED / SUPERSEDED
# first_found    YYYY-MM-DD; updated: YYYY-MM-DD
# evidence       path to the CSV/JSON row(s) backing this candidate
"# notes          one line; failure-mode flags (e.g. ""I14 funnel risk"")"
#
# The two-independent-methods rule: tier A REQUIRES methods to include
# at least one of gravity/thermal/illumination in addition to
# morphometry. Morphometry alone can never exceed tier B.
candidate_id,lon,lat,dtm,span_m,sag_amp_m,score,confusion,methods,tier,status,first_found,updated,evidence,notes
# provenance: 01_WORKSPACE/data/candidate_registry.csv | creator=geo-coder (LUNARVOID SLICE P3.1a) | status=Phase 3 transfer pending | date=2026-08-22
LV-FECNDITATS2-0200cm-r001,48.658435,-0.916441,FECNDITATS2,15564.2,32.597,0.6723,n/a|rille=201886m|chain=1263m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-FECNDITATS2-0200cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-FECNDITATS2-0400cm-r001,48.658435,-0.916441,FECNDITATS2,15564.2,33.228,0.6853,n/a|rille=201886m|chain=1263m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-FECNDITATS2-0400cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-FECNDITATS2-0500cm-r001,48.658435,-0.916441,FECNDITATS2,15564.2,33.228,0.6853,n/a|rille=201886m|chain=1263m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-FECNDITATS2-0500cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-INGENIIPIT-0200cm-r001,166.054536,-35.950450,INGENIIPIT,8214.9,87.659,19.3345,n/a|rille=177040m|chain=635m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0200cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-INGENIIPIT-0200cm-r002,166.056606,-35.948775,INGENIIPIT,10252.7,60.996,11.1163,n/a|rille=177050m|chain=584m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0200cm-r002,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0200cm-r003,166.057526,-35.949520,INGENIIPIT,8565.1,30.592,5.3055,n/a|rille=177086m|chain=608m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0200cm-r003,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0200cm-r004,166.055686,-35.951008,INGENIIPIT,7769.1,27.030,4.9789,n/a|rille=177077m|chain=651m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0200cm-r004,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0200cm-r005,166.056606,-35.950822,INGENIIPIT,8533.3,25.215,4.3763,n/a|rille=177093m|chain=646m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0200cm-r005,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0200cm-r006,166.053615,-35.949333,INGENIIPIT,6877.6,19.137,4.2694,n/a|rille=176996m|chain=602m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0200cm-r006,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0200cm-r007,166.053385,-35.949892,INGENIIPIT,6400.0,17.374,4.1912,n/a|rille=177003m|chain=620m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0200cm-r007,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0200cm-r008,166.057756,-35.948961,INGENIIPIT,8023.9,18.467,3.9473,n/a|rille=177079m|chain=592m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0200cm-r008,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0400cm-r001,166.054536,-35.950450,INGENIIPIT,8214.9,87.609,19.3236,n/a|rille=177040m|chain=635m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0400cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-INGENIIPIT-0400cm-r002,166.055456,-35.950264,INGENIIPIT,9584.0,85.565,12.7684,n/a|rille=177056m|chain=629m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0400cm-r002,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0400cm-r003,166.056376,-35.948589,INGENIIPIT,10157.2,61.398,11.5498,n/a|rille=177041m|chain=578m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0400cm-r003,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0400cm-r004,166.054996,-35.949520,INGENIIPIT,9552.2,80.722,10.7835,n/a|rille=177031m|chain=606m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0400cm-r004,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0400cm-r005,166.057526,-35.949147,INGENIIPIT,8628.8,30.210,5.8069,n/a|rille=177078m|chain=597m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0400cm-r005,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0400cm-r006,166.053615,-35.949520,INGENIIPIT,6973.1,20.804,4.8739,n/a|rille=177000m|chain=608m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0400cm-r006,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0400cm-r007,166.055686,-35.951008,INGENIIPIT,7769.1,25.864,4.7642,n/a|rille=177077m|chain=651m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0400cm-r007,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0400cm-r008,166.056606,-35.950822,INGENIIPIT,8533.3,24.673,4.2823,n/a|rille=177093m|chain=646m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0400cm-r008,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0500cm-r001,166.054536,-35.950450,INGENIIPIT,8214.9,87.609,19.3236,n/a|rille=177040m|chain=635m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0500cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-INGENIIPIT-0500cm-r002,166.055456,-35.950264,INGENIIPIT,9584.0,85.565,12.7684,n/a|rille=177056m|chain=629m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0500cm-r002,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
